Age,Attrition,Department,Education,EmployeeId,JobRole,JobSatisfaction,MonthlyIncome,OverTime,YearsAtCompany
41,Yes,Sales,Life Sciences,1,Sales Executive,4,5993,Yes,6
49,No,Research & Development,Life Sciences,2,Research Scientist,2,5130,No,10
37,Yes,Research & Development,Other,4,Laboratory Technician,3,2090,Yes,0
33,No,Research & Development,Life Sciences,5,Research Scientist,3,2909,Yes,8
27,No,Research & Development,Medical,7,Laboratory Technician,2,3468,No,2
32,No,Research & Development,Life Sciences,8,Laboratory Technician,4,3068,No,7
59,No,Research & Development,Medical,10,Laboratory Technician,1,2670,Yes,1
30,No,Research & Development,Life Sciences,11,Laboratory Technician,3,2693,No,1
38,No,Research & Development,Life Sciences,12,Manufacturing Director,3,9526,No,9
36,No,Research & Development,Medical,13,Healthcare Representative,3,5237,No,7
35,No,Research & Development,Medical,14,Laboratory Technician,2,2426,No,5
29,No,Research & Development,Life Sciences,15,Laboratory Technician,3,4193,Yes,9
31,No,Research & Development,Life Sciences,16,Research Scientist,3,2911,No,5
34,No,Research & Development,Medical,18,Laboratory Technician,4,2661,No,2
28,Yes,Research & Development,Life Sciences,19,Laboratory Technician,3,2028,Yes,4
29,No,Research & Development,Life Sciences,20,Manufacturing Director,1,9980,No,10
32,No,Research & Development,Life Sciences,21,Research Scientist,2,3298,Yes,6
22,No,Research & Development,Medical,22,Laboratory Technician,4,2935,Yes,1
53,No,Sales,Life Sciences,23,Manager,4,15427,No,25
38,No,Research & Development,Life Sciences,24,Research Scientist,4,3944,Yes,3
24,No,Research & Development,Other,26,Manufacturing Director,3,4011,No,4
36,Yes,Sales,Life Sciences,27,Sales Representative,1,3407,No,5
34,No,Research & Development,Life Sciences,28,Research Director,2,11994,No,12
21,No,Research & Development,Life Sciences,30,Research Scientist,4,1232,No,0
34,Yes,Research & Development,Medical,31,Research Scientist,1,2960,No,4
53,No,Research & Development,Other,32,Manager,3,19094,No,14
32,Yes,Research & Development,Life Sciences,33,Research Scientist,1,3919,Yes,10
42,No,Sales,Marketing,35,Sales Executive,2,6825,No,9
44,No,Research & Development,Medical,36,Healthcare Representative,4,10248,No,22
46,No,Sales,Marketing,38,Manager,1,18947,No,2
33,No,Research & Development,Medical,39,Laboratory Technician,4,2496,No,1
44,No,Research & Development,Other,40,Healthcare Representative,4,6465,Yes,4
30,No,Research & Development,Medical,41,Laboratory Technician,3,2206,No,10
39,Yes,Sales,Technical Degree,42,Sales Representative,4,2086,No,1
24,Yes,Research & Development,Medical,45,Research Scientist,4,2293,Yes,2
43,No,Research & Development,Medical,46,Research Scientist,3,2645,No,5
50,Yes,Sales,Marketing,47,Sales Representative,3,2683,Yes,3
35,No,Sales,Marketing,49,Sales Representative,4,2014,No,2
36,No,Research & Development,Life Sciences,51,Research Scientist,1,3419,Yes,1
33,No,Sales,Life Sciences,52,Sales Executive,1,5376,No,5
35,No,Research & Development,Other,53,Laboratory Technician,4,1951,No,1
27,No,Research & Development,Life Sciences,54,Laboratory Technician,1,2341,No,1
26,Yes,Research & Development,Life Sciences,55,Laboratory Technician,3,2293,No,1
27,No,Sales,Life Sciences,56,Sales Executive,3,8726,No,9
30,No,Research & Development,Medical,57,Laboratory Technician,4,4011,No,12
41,Yes,Research & Development,Technical Degree,58,Research Director,3,19545,No,22
34,No,Sales,Marketing,60,Sales Executive,3,4568,No,9
37,No,Research & Development,Life Sciences,61,Research Scientist,2,3022,No,1
46,No,Sales,Marketing,62,Sales Executive,4,5772,Yes,9
35,No,Research & Development,Life Sciences,63,Laboratory Technician,4,2269,No,1
48,Yes,Research & Development,Life Sciences,64,Laboratory Technician,3,5381,Yes,1
28,Yes,Research & Development,Technical Degree,65,Laboratory Technician,3,3441,Yes,2
44,No,Sales,Marketing,68,Sales Executive,1,5454,Yes,4
35,No,Research & Development,Medical,70,Healthcare Representative,1,9884,Yes,4
26,No,Sales,Marketing,72,Sales Executive,4,4157,Yes,2
33,No,Research & Development,Life Sciences,73,Research Director,4,13458,Yes,15
35,No,Sales,Life Sciences,74,Sales Executive,1,9069,No,9
35,No,Research & Development,Medical,75,Laboratory Technician,1,4014,Yes,2
31,No,Research & Development,Life Sciences,76,Laboratory Technician,4,5915,No,7
37,No,Research & Development,Life Sciences,77,Manufacturing Director,3,5993,No,7
32,No,Research & Development,Medical,78,Manufacturing Director,4,6162,Yes,9
38,No,Research & Development,Life Sciences,79,Laboratory Technician,4,2406,No,10
50,No,Research & Development,Medical,80,Research Director,3,18740,Yes,27
59,No,Sales,Life Sciences,81,Sales Executive,1,7637,No,21
36,No,Research & Development,Technical Degree,83,Healthcare Representative,3,10096,No,17
55,No,Research & Development,Medical,84,Manager,3,14756,Yes,5
36,No,Research & Development,Life Sciences,85,Manufacturing Director,2,6499,No,6
45,No,Research & Development,Life Sciences,86,Research Scientist,1,9724,No,1
35,No,Research & Development,Medical,88,Research Scientist,1,2194,No,3
36,Yes,Research & Development,Medical,90,Research Scientist,3,3388,Yes,1
59,No,Sales,Life Sciences,91,Sales Executive,3,5473,No,4
29,No,Research & Development,Life Sciences,94,Research Scientist,2,2703,No,5
31,No,Research & Development,Medical,95,Research Scientist,2,2501,No,1
32,No,Research & Development,Life Sciences,96,Research Scientist,2,6220,No,10
36,No,Research & Development,Life Sciences,97,Laboratory Technician,4,3038,No,1
31,No,Research & Development,Life Sciences,98,Manufacturing Director,4,4424,No,11
35,No,Sales,Marketing,100,Sales Executive,1,4312,No,15
45,No,Research & Development,Other,101,Research Director,1,13245,Yes,0
37,No,Research & Development,Medical,102,Research Director,3,13664,No,5
46,No,Human Resources,Medical,103,Human Resources,2,5021,Yes,4
30,No,Research & Development,Life Sciences,104,Laboratory Technician,4,5126,Yes,10
35,No,Research & Development,Medical,105,Research Scientist,3,2859,No,6
55,No,Sales,Life Sciences,106,Sales Executive,4,10239,No,1
38,No,Research & Development,Medical,107,Research Scientist,4,5329,Yes,13
34,No,Research & Development,Medical,110,Manufacturing Director,2,4325,No,5
56,No,Research & Development,Life Sciences,112,Manufacturing Director,4,7260,No,6
23,No,Sales,Technical Degree,113,Sales Representative,1,2322,No,0
51,No,Research & Development,Life Sciences,116,Laboratory Technician,4,2075,No,4
30,No,Research & Development,Life Sciences,117,Healthcare Representative,4,4152,No,11
46,Yes,Sales,Medical,118,Sales Executive,4,9619,No,9
40,No,Research & Development,Life Sciences,119,Healthcare Representative,2,13503,No,22
51,No,Sales,Marketing,120,Sales Executive,4,5441,Yes,10
30,No,Sales,Medical,121,Sales Executive,2,5209,Yes,11
46,No,Research & Development,Medical,124,Healthcare Representative,1,10673,Yes,10
32,No,Sales,Medical,125,Sales Executive,3,5010,No,11
54,No,Research & Development,Technical Degree,126,Research Director,3,13549,No,4
24,No,Sales,Other,128,Sales Executive,3,4999,No,3
28,No,Sales,Medical,129,Sales Executive,3,4221,No,5
58,No,Sales,Medical,131,Sales Executive,3,13872,No,37
44,No,Research & Development,Medical,132,Laboratory Technician,2,2042,No,3
37,Yes,Human Resources,Human Resources,133,Human Resources,1,2073,Yes,3
32,No,Research & Development,Life Sciences,134,Research Scientist,1,2956,No,1
20,Yes,Research & Development,Life Sciences,137,Laboratory Technician,4,2926,Yes,1
34,No,Research & Development,Other,138,Research Scientist,3,4809,No,16
37,No,Research & Development,Life Sciences,139,Healthcare Representative,4,5163,No,1
59,No,Human Resources,Human Resources,140,Manager,4,18844,No,3
50,No,Research & Development,Life Sciences,141,Research Director,2,18172,Yes,8
25,Yes,Sales,Marketing,142,Sales Executive,3,5744,Yes,6
25,No,Research & Development,Medical,143,Research Scientist,4,2889,No,2
22,No,Research & Development,Medical,144,Laboratory Technician,4,2871,No,0
51,No,Research & Development,Medical,145,Healthcare Representative,1,7484,No,13
34,Yes,Research & Development,Life Sciences,147,Laboratory Technician,3,6074,Yes,9
